"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Бургас - кв. Долно Езерово","","","","1.04","",""
"Несебър","","","","1.33","",""
"Варна - СОУ Ангел Кънчев","","","","1.06","",""
"Добрич - ОУ Хан Аспарух","","","","1.22","",""
"Г.Оряховица","","","","1.18","",""
"Враца - ЖП Гара","","","","1.27","",""
"Перник - Център","","","","1.04","",""
"Русе - Възраждане","","","","1.83","",""
"Димитровград - Раковски","","","","1.05","",""
"Кърджали - Студен Кладенец","","","","1.02","",""
"Шумен","","","","1.26","",""
